Classifier,Accuracy,TN,FP,FN,TP,Precision,Recall,F1,MSE
XGBClassifier,0.9183346191998236,96827.0,10320.0,4499.0,69814.0,0.8712157136795867,0.9394587757189188,0.904051227929322,0.0816653808001763
HistGradientBoostingClassifier,0.9180645872368566,96746.0,10401.0,4467.0,69846.0,0.870387678044039,0.9398893867829315,0.903804347826087,0.0819354127631434
RandomForestClassifier,0.9140581946434476,97104.0,10043.0,5552.0,68761.0,0.8725572305974316,0.92528898039374,0.8981497808865117,0.0859418053565524
ExtraTreesClassifier,0.9133417833131268,97136.0,10011.0,5714.0,68599.0,0.8726497901030403,0.923109011882174,0.897170471413718,0.0866582166868731
GradientBoostingClassifier,0.9096164443954592,97705.0,9442.0,6959.0,67354.0,0.8770508880670869,0.9063555501729172,0.8914624542548756,0.0903835556045409
VotingClassifier,0.9094400969910724,98462.0,8685.0,7748.0,66565.0,0.8845847176079734,0.8957382961258461,0.8901265687369202,0.0905599030089275
AdaBoostClassifier,0.9063264631323708,97797.0,9350.0,7648.0,66665.0,0.876997960928764,0.8970839557008868,0.8869272524080677,0.0936735368676292
