Classifier,Accuracy,TN,FP,FN,TP,Precision,Recall,F1,MSE
XGBClassifier,0.9474399150000672,68587.0,5770.0,2046.0,72303.0,0.926094808704674,0.9724811362627608,0.9487213131962576,0.0525600849999327
RandomForestClassifier,0.9463908651971004,68622.0,5735.0,2237.0,72112.0,0.926329852145876,0.9699121709774172,0.9476201739861756,0.0536091348028996
BaggingClassifier,0.9403655535082648,68933.0,5424.0,3444.0,70905.0,0.9289391974216876,0.95367792438365,0.9411460199896468,0.0596344464917353
MLPClassifier,0.9330894516697376,65640.0,8717.0,1233.0,73116.0,0.893478181173854,0.9834160513255054,0.936292274397818,0.0669105483302624
LogisticRegressionCV,0.9323362877086332,66108.0,8249.0,1813.0,72536.0,0.8978894596769202,0.9756150049092792,0.935139943532688,0.0676637122913668
VotingClassifier,0.930177665998682,69396.0,4961.0,5422.0,68927.0,0.9328578388912948,0.9270736660883132,0.9299567584341292,0.069822334001318
