Classifier,Accuracy,TN,FP,FN,TP,Precision,Recall,F1,MSE
HistGradientBoostingClassifier,0.9177394467100188,96732.0,10415.0,4512.0,69801.0,0.8701630597387054,0.9392838399741632,0.9034032446984062,0.0822605532899812
RandomForestClassifier,0.9162735589110548,97124.0,10023.0,5170.0,69143.0,0.8733926180430993,0.9304293999703956,0.9010092585956384,0.0837264410889452
GradientBoostingClassifier,0.915821668687314,97559.0,9588.0,5687.0,68626.0,0.8774132508246606,0.923472339967435,0.8998537963770349,0.084178331312686
ExtraTreesClassifier,0.9156342995701532,97187.0,9960.0,5349.0,68964.0,0.8738026455830926,0.9280206693310726,0.9000959298341784,0.0843657004298468
VotingClassifier,0.9110492670561006,98086.0,9061.0,7080.0,67233.0,0.8812357459302174,0.904727302087118,0.8928270266322282,0.0889507329438994
TunedThresholdClassifierCV,0.9019949300121238,93709.0,13438.0,4346.0,69967.0,0.8388825609975421,0.9415176348687307,0.8872417859724319,0.0980050699878761
QuadraticDiscriminantAnalysis,0.8373911605863551,81856.0,25291.0,4216.0,70097.0,0.7348618274835409,0.943266992316284,0.8261235938503604,0.1626088394136448
