Classifier,Accuracy,TN,FP,FN,TP,Precision,Recall,F1,MSE
HistGradientBoostingClassifier,0.9098893117964304,64885.0,-9472.0,-3928.0,70421.0,0.8814414279098294,0.9471680856501096,0.9131235331492072,-0.0901106882035694
XGBClassifier,0.9098153403359648,64863.0,-9494.0,-3917.0,70432.0,0.8812151239896905,0.9473160365304174,0.9130708151029008,-0.090184659664035
GradientBoostingClassifier,0.9097884416230684,64930.0,-9427.0,-3988.0,70361.0,0.8818494009124179,0.9463610808484312,0.9129670358187846,-0.0902115583769316
FixedThresholdClassifier,0.9068968299866852,63894.0,-10463.0,-3382.0,70967.0,0.871509271767162,0.9545118293453846,0.9111240924643244,-0.0931031700133148
AdaBoostClassifier,0.9066681909270642,65079.0,-9278.0,-4601.0,69748.0,0.8825956014476248,0.9381161817912816,0.9095093724531378,-0.0933318090729358
VotingClassifier,0.9064866246150122,65485.0,-8872.0,-5034.0,69315.0,0.8865284510212695,0.932292297139168,0.908834635758116,-0.0935133753849878
