Classifier,Accuracy,TN,FP,FN,TP,Precision,Recall,F1,MSE
MLPClassifier,0.962669438309298,27370.0,-1240.0,-484.0,17088.0,0.932343954604976,0.97245618028682,0.9519777158774372,-0.037330561690702
XGBClassifier,0.9621064483998094,27373.0,-1237.0,-513.0,17059.0,0.9323895933537384,0.9708058274527658,0.9512099921935988,-0.0378935516001905
RandomForestClassifier,0.961803299987008,27414.0,-1196.0,-568.0,17004.0,0.9342857142857144,0.9676758479399044,0.9506876886950688,-0.038196700012992
ExtraTreesClassifier,0.9612186566194622,27426.0,-1184.0,-607.0,16965.0,0.934762245853766,0.9654564079216936,0.9498614260519024,-0.0387813433805378
SVC,0.960698973626088,27243.0,-1367.0,-448.0,17124.0,0.9260721432048024,0.9745048941497836,0.949671408368688,-0.0393010263739119
BaggingClassifier,0.9571261530466416,27453.0,-1157.0,-823.0,16749.0,0.93538478722216,0.9531641247439108,0.9441907661085744,-0.0428738469533584
