Classifier,Accuracy,TN,FP,FN,TP,Precision,Recall,F1,MSE
XGBClassifier,0.9436900694367903,99851.0,-7296.0,-2922.0,71391.0,0.9072782035151932,0.9606798272173106,0.9332156862745098,-0.0563099305632095
RandomForestClassifier,0.9430232558139536,99930.0,-7217.0,-3122.0,71191.0,0.9079558208346088,0.9579885080672292,0.932301386187885,-0.0569767441860465
BaggingClassifier,0.936718836107131,100449.0,-6698.0,-4785.0,69528.0,0.9121297195182746,0.9356101893343022,0.9237207633902178,-0.0632811638928689
VotingClassifier,0.923828943017745,101145.0,-6002.0,-7820.0,66493.0,0.9172080833160908,0.8947694212318168,0.9058498174486403,-0.076171056982255
MLPClassifier,0.923564421911165,94755.0,-12392.0,-1478.0,72835.0,0.8546000680535512,0.9801111514808984,0.9130625548451798,-0.076435578088835
NearestCentroid,0.778171497850766,67374.0,-39773.0,-480.0,73833.0,0.6499040543633259,0.9935408340398046,0.7857960078544479,-0.221828502149234
