Classifier,Accuracy,TN,FP,FN,TP,Precision,Recall,F1,MSE
XGBClassifier,0.9485629362634996,68716.0,5641.0,2008.0,72341.0,0.9276627939780976,0.9729922393038238,0.949786977043412,0.0514370637365002
ExtraTreesClassifier,0.946969187524377,68401.0,5956.0,1930.0,72419.0,0.9240063795853268,0.974041345546006,0.9483643697126845,0.053030812475623
BaggingClassifier,0.9405336704638684,69004.0,5353.0,3490.0,70859.0,0.9297617173148586,0.9530592207023632,0.9412663305902592,0.0594663295361316
MLPClassifier,0.9343335171412048,66506.0,7851.0,1914.0,72435.0,0.9022120917719154,0.9742565468264536,0.9368512949849646,0.0656664828587952
VotingClassifier,0.9071456430809786,69924.0,4433.0,9375.0,64974.0,0.936130361490916,0.8739054997377235,0.9039483569381452,0.0928543569190214
RidgeClassifier,0.8587279598671204,54466.0,19891.0,1117.0,73232.0,0.786400781761756,0.9849762606087508,0.8745581350912391,0.1412720401328796
LinearDiscriminantAnalysis,0.8587279598671204,54466.0,19891.0,1117.0,73232.0,0.786400781761756,0.9849762606087508,0.8745581350912391,0.1412720401328796
