Classifier,Accuracy,TN,FP,FN,TP,Precision,Recall,F1,MSE
XGBClassifier,0.9449355229802712,100046.0,-7101.0,-2891.0,71422.0,0.9095678973039746,0.9610969816855732,0.9346227328639848,-0.0550644770197288
BaggingClassifier,0.9355284911275212,100336.0,-6811.0,-4888.0,69425.0,0.9106590062437694,0.9342241599720102,0.9222910813090754,-0.0644715088724787
VotingClassifier,0.9126915022594512,101895.0,-5252.0,-10591.0,63722.0,0.9238553657900078,0.8574811944074388,0.8894317000146559,-0.0873084977405488
QuadraticDiscriminantAnalysis,0.907472721260884,92627.0,-14520.0,-2270.0,72043.0,0.8322608966879613,0.969453527646576,0.8956339043735548,-0.092527278739116
GaussianNB,0.8563760608398545,82684.0,-24463.0,-1599.0,72714.0,0.7482634779834735,0.9784829033950992,0.8480261239722433,-0.1436239391601455
DummyClassifier,0.5904717293067343,107147.0,-0.0,-74313.0,0.0,0.0,0.0,0.0,-0.4095282706932657
